0x000003F7,amr
0x0000AFEF,Quietly take out the ~a~.
0x0002EBA8,Suspect identified as known criminal going by the streetname "~a~".
0x0003B4C5,Minisub
0x00046B57,HVY Apocalypse Scarab Livery set
0x00052F07,Flecktarn Tactical Ski
0x000780D0,Misfiring in the Shooting Range caused the round to end and the Cops to be alerted.
0x00089FF9,Lamar
0x0008EC5C,You do not have enough money to purchase this interior.
0x0009DF16,~1~ of ~1~ security shipments destroyed
0x000B5C1C,Are you sure you want to launch this Club Work?
0x000D0FF3,Layered Bob
0x000E7C17,Deploy your parachute near the ground.
0x000F9329,~BLIP_INFO_ICON~ Improving each character's stats will improve their performance on missions throughout the game.
0x001154C4,LSPD helicopter units have lost sight of wanted suspect ~a~ in the ~a~ area. Police have appealed for information.
0x0012CCB4,Terrorbyte
0x0013C90B,Medical Supplies
0x0016F7A3,Track Shared to ~HUD_COLOUR_SOCIAL_CLUB~Social Club~s~!
0x001875DE,Your new vehicle will be delivered to your Clubhouse shortly.
0x001A081F,Empty
0x001A2EA0,General
0x001C208E,You made a profit over your total investments in the stock market.
0x001EBCF0,An anchor point will show for this marker on the timeline to help you position text and audio precisely.
0x001FB14C,The nerve agent has been released and the guards have been alerted. Leave the vault.
0x0020A0D2,Table Lamp
0x00217CD3,Race Yellow
0x00235854,WAVE
0x002388AD,Accessories are unavailable with this outfit.
0x00239087,Releases a blast of kinetic energy. Capacity 3.
0x00271C90,Prescription Only  Blue
0x00280626,Vinewood Hills
0x00286708,Custom roof scoops.
0x00292978,PREV TRACK
0x002B125E,Artwork by Billy Wiener
0x002C81D7,Your ~a~ will be delivered to your Nightclub Garage shortly.
0x002CE370,BOMB CARRIER
0x002DDB6E,Apply a shake effect to the camera.
0x002F4905,KIA!
0x002FFD3A,Your payment could not be processed at this time.
0x0031BFB1,~a~~HUD_COLOUR_WHITE~ whacked ~a~.
0x00321BD8,Gang Bang
0x00353DAE,Automated Response – Wild Amateur Pics
0x00371714,Daddy's Little Girl
0x0037777B,Bar - Upper
0x0037A7EB,Sculpture by Eduardo Tutti
0x0039CFB0,Are you sure you'd like to purchase a large shipment of Narcotics?
0x0039D422,Low Tech Tactical
0x003A5B94,Damn you fortunate you didn't just maim it with that leg shot!  $~1~ is the highest I can go.
0x003A931F,TOGGLE ODDS
0x003AC356,@HughieMcGill Fucking #Perseus #menswear shoot today. Should be down the boozer w the lads insteada doin this poncy shit. Workout? The only sport I play is darts!
0x003BEF5D,You destroyed 1 vehicle for $~1~
0x003C577E,Put the pedal to the metal and visit our website for our latest range of cycles:
0x003DA9E2,Special Vehicle Mission
0x003EF5AD,The Diamond Casino Heist
0x003F6701,Senora Rd
0x00407C5F,~s~~a~~s~ has won a One on One Deathmatch against ~s~~a~~s~.
0x00446747,UP
0x00479828,Attach side steps to your truck
0x0049578C,DAILY OBJECTIVES
0x004A273B,All Survivals
0x004AAB57,4 new items
0x004CFD7F,Spikey Light Brown
0x004D2425,Lake Vinewood Estates
0x005104F1,The Dashing
0x0051189C,Supplies
0x00527A63,Triathlon 2: Muscle Beach
0x0054A0BC,Eris Gray Down Jacket
0x0054D595,Weaponized Tampa Front Missile Launchers
0x0055C968,Import Export Outfits
0x0055CECB,4 new items
0x00572C04,West Coast Classics
0x00599EDC,The Imposer
